NUM_CONTRATO,NUM_HACIENDA,ID_OBRA_COMPLEMENTARIA,OC_NUMERO_CONTRATO,NUM_LICITACION,OBJETO,MODALIDAD,TIPO_CONTRATO,TIPO_OBRA,TOTAL_CONTRATO,AVANCE,FECHA_AVANCE,DOCUMENTOS,FOTOGRAFIAS,MUNICIPIO,LOCALIDAD,LATITUD,LONGITUD,BENEFICIADOS,ORGANISMO,UA_SOLICITANTE,UA_RESPONSABLE,CONTRATISTA,RESIDENTE,SUPERVISOR_EXTERNO,FECHA_CONTRATO,FECHA_INICIO,FECHA_TERMINO,FECHA_ENTREGA,EJERCICIO
ISIE-FAMEB-15-128,,0,,ISIE-LS-EST-052-15,"CONSTRUCCION DE TRES AULAS EN J.N. NUEVA CREACION QUINTAS DEL SOL DE LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO SONORA","LICITACIÓN SIMPLIFICADA","OBRA PÚBLICA",EDUCACIÓN,1192480,100,17/03/2016,1,5,HERMOSILLO,"CDA. QUINTA EL SABINO 12, HERMOSILLO, SON., MÉXICO",29.00955951872637,-110.97768545150757,100,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"PALOFIERRO CONSTRUCCIONES, S.A. DE C.V.","ING. RODRIGO BUSTAMANTE ROBLES",,03/12/2015,07/12/2015,05/03/2016,13/04/2016,2015
SIDUR-ED-16-001,,0,,CE-926006995-E1-2016,"RECONSTRUCCIÓN DEL CAMINO NAVOJOA-ETCHOJOA-HUATABAMPO EN VARIAS LOCALIDADES Y MUNICIPIOS, SONORA.","LICITACIÓN PÚBLICA","OBRA PÚBLICA","CAMINOS Y CARRETERAS",42349187.57,100,25/11/2016,8,18,VARIOS,NAVOJOA-ETCHOJOA-HUATABAMPO,27.021131,-109.494312,30000,"SECRETARÍA DE INFRAESTRUCTURA Y DESARROLLO URBANO","DIRECCIÓN GENERAL DE PROYECTOS E INGENIERIA","DIRECCIÓN GENERAL DE EJECUCIÓN DE OBRAS","CONSTRUKINO, S.A. DE C.V.","ING. RODRIGO VALDEZ GUTIÉRREZ",,29/02/2016,18/03/2016,31/07/2016,29/08/2016,2016
SIDUR-ED-16-002,,0,,CE-926006995-E2-2016,"RECONSTRUCCION DEL CAMINO E.C. FEDERAL 15- LAS BOCAS EN VARIAS LOCALIDADES DEL MUNICIPIO DE HUATABAMPO, SONORA.","LICITACIÓN PÚBLICA","OBRA PÚBLICA","CAMINOS Y CARRETERAS",22980026.97,100,31/08/2016,8,14,HUATABAMPO,"LOS VALLES DEL YAQUI Y MAYO",26.722276,-109.287870,2000,"SECRETARÍA DE INFRAESTRUCTURA Y DESARROLLO URBANO","DIRECCIÓN GENERAL DE PROYECTOS E INGENIERIA","DIRECCIÓN GENERAL DE EJECUCIÓN DE OBRAS","EDIFICACION INTEGRAL DEL NOROESTE, S.A. DE C.V.","ING. VICTOR COTA LEYVA",,03/03/2016,18/03/2016,14/08/2016,30/08/2016,2016
SIDUR-ED-16-003,,0,,CE-926006995-E3-2016,"RECONSTRUCCIÓN DEL CAMINO CALLE 16 EN VARIAS LOCALIDADES DEL MUNICIPIO DE CAJEME, SONORA.","LICITACIÓN PÚBLICA","OBRA PÚBLICA","CAMINOS Y CARRETERAS",26465400,100,03/11/2016,8,55,CAJEME,"LOS VALLES DEL YAQUI Y MAYO",27.137759,-109.850825,13000,"SECRETARÍA DE INFRAESTRUCTURA Y DESARROLLO URBANO","DIRECCIÓN GENERAL DE PROYECTOS E INGENIERIA","DIRECCIÓN GENERAL DE EJECUCIÓN DE OBRAS","TEKTON INGENIERIA, S.A. DE C.V.","ING. JERXES FLORES SEPULVEDA",,25/02/2016,04/04/2016,31/08/2016,31/08/2016,2016
SIDUR-ED-16-004,,0,,CE-926006995-E4-2016,"RECONSTRUCCION DEL CAMINO HUATABAMPO-YAVAROS EN VARIAS LOCALIDADES DEL MUINICIPIO DE HUATABAMPO, SONORA.","LICITACIÓN PÚBLICA","OBRA PÚBLICA","CAMINOS Y CARRETERAS",17283667.42,100,25/11/2016,9,26,HUATABAMPO,"HUATABANPO, YAVAROS",26.70183597818707,-109.53299403190613,41200,"SECRETARÍA DE INFRAESTRUCTURA Y DESARROLLO URBANO","DIRECCIÓN GENERAL DE PROYECTOS E INGENIERIA","DIRECCIÓN GENERAL DE EJECUCIÓN DE OBRAS","CONSTRUCTORA SIVIRAL, S.A. DE C.V.","ING. VICTOR COTA LEYVA",,26/02/2016,04/04/2016,31/08/2016,09/09/2016,2016
SIDUR-ED-16-005,,0,,CE-926006995-E5-2016,"RECONSTRUCCIÓN DEL CAMINO BACAME NUEVO EN VARIAS LOCALIDADES DEL MUNICIPIO DE ETCHOJOA, SONORA.","LICITACIÓN PÚBLICA","OBRA PÚBLICA","CAMINOS Y CARRETERAS",6199918.19,100,01/07/2016,9,40,ETCHOJOA,"LOS VALLES DEL YAQUI Y MAYO",27.167881213453494,-109.57808464765549,400,"SECRETARÍA DE INFRAESTRUCTURA Y DESARROLLO URBANO","DIRECCIÓN GENERAL DE PROYECTOS E INGENIERIA","DIRECCIÓN GENERAL DE EJECUCIÓN DE OBRAS","GIBHER CONSTRUCTORES, S.A. DE C.V.","ARQ. ALEJO QUINTERO MATUS",,24/02/2016,18/03/2016,15/07/2016,29/08/2016,2016
ISIE-FP100-15-005,,0,,IO-926055986-N39-2015,"SUSTITUCION DE LUMINARIAS EN EDIFICIOS, SUSTITUCION DE TABLEROS DE BASKET BALL, PINTURA GENERAL EN EDIFICIOS Y TEJABAN, IMPERMEABILIZACION, CONSTRUCCION DE BARDA Y SUSTITUCION DE CERCO PERIMETRAL EN LA ESCUELA PRIMARIA ALVARO REMBAU FIGUEROA EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO SONORA.","LICITACIÓN SIMPLIFICADA","OBRA PÚBLICA",EDUCACIÓN,1838711.5,100,10/05/2016,2,18,HERMOSILLO,"AV PEDRO VILLEGAS RAMÍREZ 81, EL CHAPARRAL, 83179 HERMOSILLO, SON., MÉXICO",29.12956351424671,-111.01887077093124,175,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"PROMOTORA MAJERUS, S. DE R.L.","ING. LOPE SARACHO CASTAÑOS",,29/12/2015,27/01/2016,25/04/2016,17/05/2016,2015
ISIE-FP100-15-002,,0,,IO-926055986-N41-2015,"REPARACION DE SISTEMA ELECTRICO, IMPERMEABILIZACION DE TECHOS Y PINTURA GENERAL EN LA ESCUELA PRIMARIA PLUTARCO ELIAS CALLES DE HERMOSILLO SONORA","LICITACIÓN SIMPLIFICADA","OBRA PÚBLICA",EDUCACIÓN,1125083.16,100,24/04/2016,2,9,HERMOSILLO,"MOCTEZUMA 11, MODELO, 83190 HERMOSILLO, SON., MÉXICO",29.10665143733269,-110.95469355583191,307,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"MARCO ARQUITECTOS Y CONSTRUCTORES ASOCIADOS S.A. DE C.V.","ING. JOSE ENMANUEL OROZCO AISPURO",,29/12/2015,19/03/2016,17/06/2016,09/07/2016,2015
ISIE-FP100-15-004,,0,,IO-926055986-N43-2015,"IMPERMEABILIZACION DE TECHOS, REPARACION DE SERVICIOS SANITARIOS, INSTALACIONES ELECTRICAS, CERCO PERIMETRAL, SISTEMA HIDROSANITARIO Y CONSTRUCCION DE RAMPA EN ESCUELA PRIMARIA ANGELA MACIAS MARTINEZ EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO SONORA.","LICITACIÓN SIMPLIFICADA","OBRA PÚBLICA",EDUCACIÓN,1207596.82,100,24/05/2016,2,13,HERMOSILLO,"AYUNTAMIENTO 85, CHOYAL, 83130 HERMOSILLO, SON., MÉXICO",29.105704663710753,-110.98726361989975,258,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"SANTA ROSA CONSTRUCCIONES S.A. DE C.V.","ING. LOPE SARACHO CASTAÑOS",,29/12/2015,22/01/2016,06/04/2016,24/04/2016,2015
ISIE-FP100-15-001,,0,,IO-926055986-N40-2015,"SUSTITUCION DE CUBIERTAS Y LUMINARIAS EN TALLERES, CAMBIO DE MUEBLES EN SANITARIOS Y SERVICIOS ADMINISTRATIVOS Y CONSTRUCCION DE RAMPAS EN LA ESCUELA SECUNDARIA TECNICA NO 6 MANUEL ORTIZ PAREDES EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO SONORA","LICITACIÓN SIMPLIFICADA","OBRA PÚBLICA",EDUCACIÓN,1146410.68,100,12/04/2016,2,8,HERMOSILLO,"BLVD. LUIS ENCINAS J. SN-S""ESCUELA"", COLOSO, 83040 HERMOSILLO, SON., MÉXICO",29.078314764615623,-110.93593686819077,973,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"DR 51 CONSTRURENTAS, S.A. DE C.V.","ING. LOPE SARACHO CASTAÑOS",,29/12/2015,22/01/2016,06/04/2016,24/04/2016,2015
